trait,in_classic,in_impossible,in_turbo,waves_classic,waves_impossible,map_definition,derived_evidence,evidence_basis,always_co_occurs_with,notes
Brilliance Boss,,yes,,,15,,armour mostly hero (2/2); ability Apsh x2; ability ACmf x1,impossible waves 15,"Mana Shield, Phase Shift","the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Burst Boss,yes,,yes,15,,,armour mostly hero (2/2); ability Apsh x2; ability ACmf x1,classic waves 15,Phase Shift,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Damage Reduction,yes,yes,yes,36 39,1 12 25 36 39,,2/5 units fly; armour mostly medium (3/5); speed 1.24x median; gold bounty 1.59x neighbouring waves; HP 4.0x all-wave median; ability Assk x3; ability A02V x1,classic waves 36 39,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Death's Rage,yes,yes,yes,6 27,6 9,,,classic waves 6 27,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Degeneration,,yes,,,42,,armour mostly large (2/2); gold bounty 2.50x neighbouring waves; HP 10.5x all-wave median; ability A013 (zz Immolation Graphics) x2,impossible waves 42,"Flame, Horde, Implode","the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Demoralizing Boss,yes,yes,yes,40,40,,armour mostly hero (2/2); gold bounty 0.80x neighbouring waves; HP 8.0x all-wave median; ability A013 (zz Immolation Graphics) x2,classic waves 40,Flame,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Divine Shield Boss,yes,yes,yes,10,10,,armour mostly hero (2/2); speed 0.89x median; gold bounty 1.33x neighbouring waves; ability SCae (Mighty Aura) x1,classic waves 10,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Duel Aura Boss,yes,,yes,35,,,armour mostly hero (2/2); speed 0.91x median; HP 2.9x all-wave median,classic waves 35,Regeneration,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Evasion,,yes,,,2 4 25,,2/7 units fly; speed 0.92x median; ability ACev x3; ability Aap4 x1,impossible waves 2 4 25,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Extra Fast,yes,yes,yes,22,8 22,,armour mostly large (2/2); speed 1.19x median; gold bounty 0.44x neighbouring waves,classic waves 22,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Final Gift,,yes,,,29,,2/2 units fly; armour mostly small (2/2); speed 1.08x median; ability Aegr (Thick Hide) x1,impossible waves 29,"Air, Thick Hide","the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Flame,yes,yes,yes,8 16 21 26 31 36 40 42,4 8 13 16 21 31 36 40 42,,armour mostly medium (12/18); speed 1.14x median; HP 1.7x all-wave median; ability A013 (zz Immolation Graphics) x14; ability ACm2 x1,classic waves 8 16 21 26 31 36 40 42,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Flame Boss,yes,,yes,5,,,armour mostly hero (2/2); speed 0.92x median; ability A027 x1,classic waves 5,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Flame Shedder,,yes,,,26,,armour mostly medium (3/3); gold bounty 0.50x neighbouring waves; ability A013 (zz Immolation Graphics) x1; ability ACrn x1,impossible waves 26,"Mighty Aura, Reincarnation","the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Frost Armor Boss,yes,,yes,25,,,armour mostly hero (3/3); gold bounty 0.75x neighbouring waves; ability A03A x1; ability ACev x1,classic waves 25,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Heavily Armored,,yes,,,20,,armour mostly hero (2/2),impossible waves 20,Mighty Aura Boss,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Horde,yes,yes,,7,3 42,,armour mostly large (2/2); speed 1.13x median; gold bounty 1.50x neighbouring waves,classic waves 7,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Implode,yes,yes,yes,11,38 42,,armour mostly medium (2/2); speed 0.89x median,classic waves 11,Accelerate,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Mana Shield,,yes,,,15 32,,ability Apsh x2; ability ACmf x2,impossible waves 15 32,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Mechanical,yes,yes,yes,3 14 24 39,3 11 14 24 37,,4/8 units fly; armour mostly small (5/8); gold bounty 1.88x neighbouring waves; ability Assk x2,classic waves 3 14 24 39,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Mechanical Heavily Armored,,yes,,,27,,armour mostly large (2/2); HP 1.6x all-wave median,impossible waves 27,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Mighty Aura,,yes,,,10 26,,armour mostly medium (3/5); speed 0.89x median; ability SCae (Mighty Aura) x2; ability A013 (zz Immolation Graphics) x1,impossible waves 10 26,,
Mighty Aura Boss,,yes,,,20,,armour mostly hero (2/2),impossible waves 20,Heavily Armored,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Nothing special,yes,,yes,1 2 13 17 41,,,speed 0.89x median; ability A00G x1; ability ACev x1,classic waves 1 2 13 17 41,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Once More With Feeling!!,,yes,,,22,,armour mostly large (2/2); speed 1.19x median; gold bounty 0.44x neighbouring waves,impossible waves 22,Extra Fast,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Oversoul,yes,yes,yes,12 21 33 39,7 12 21,,2/8 units fly; speed 1.37x median; gold bounty 2.25x neighbouring waves; HP 3.1x all-wave median; ability A013 (zz Immolation Graphics) x2; ability Assk x2,classic waves 12 21 33 39,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Phase Shift,yes,yes,yes,15 18,15 19,,speed 1.10x median; ability Apsh x3; ability ACmf x1,classic waves 15 18,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Regeneration,yes,yes,yes,35,2 6 18 35 36,This tower regenerates 12 HP per second.,armour mostly hero (2/2); speed 0.91x median; HP 2.9x all-wave median,classic waves 35,Duel Aura Boss,
Reincarnation,yes,yes,yes,32,5 26,"When killed, the Alchemaniac will come back to life.",armour mostly large (2/2); speed 0.85x median; gold bounty 1.25x neighbouring waves; ability ACrn x1; ability ACmf x1,classic waves 32,Attackers,
Shedder,yes,yes,yes,14 24 26,14 34 38,,2/7 units fly; gold bounty 1.75x neighbouring waves; ability A013 (zz Immolation Graphics) x1; ability ACrn x1,classic waves 14 24 26,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Shredder,,yes,,,24,,1/2 units fly; armour mostly small (2/2); gold bounty 2.00x neighbouring waves,impossible waves 24,"Air, Bonus, Mechanical","the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Spell Immune,,yes,,,16,,armour mostly medium (2/2); speed 0.90x median; ability A013 (zz Immolation Graphics) x2; ability ACm2 x1,impossible waves 16,Flame,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Spell Vulnerability,,yes,,,41,,speed 1.14x median; gold bounty 0.80x neighbouring waves; HP 7.5x all-wave median,impossible waves 41,Unarmored,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Stun Boss,yes,yes,yes,30,30,,armour mostly hero (2/2); speed 0.92x median; HP 1.6x all-wave median,classic waves 30,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Tanker,,yes,,,9 13 17 32 40,,2/10 units fly; speed 0.80x median; gold bounty 0.80x neighbouring waves; ability A013 (zz Immolation Graphics) x3; ability ACrn x1,impossible waves 9 13 17 32 40,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
Taunting Mechanical Boss,,yes,,,25,,armour mostly hero (3/3); gold bounty 0.75x neighbouring waves; ability A03A x1; ability ACev x1,impossible waves 25,"Damage Reduction, Evasion","the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Thick Hide,,yes,,,29 36,,2/5 units fly; armour mostly medium (3/5); speed 1.21x median; ability Aegr (Thick Hide) x2; ability A02V x1,impossible waves 29 36,,
Turtle Boss,,yes,,,5,,armour mostly hero (2/2); speed 0.92x median; ability A027 x1,impossible waves 5,Reincarnation,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Unarmored,,yes,,,41,,speed 1.14x median; gold bounty 0.80x neighbouring waves; HP 7.5x all-wave median,impossible waves 41,Spell Vulnerability,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored ; never appears alone, so the evidence cannot be separated from the co-occurring labels"
Valor of the Dead,yes,yes,yes,28,28 37,,armour mostly fort (2/2); HP 1.7x all-wave median; ability ACev x1,classic waves 28,,"the map never defines this label — evidence is MEASURED from the waves carrying it, not authored"
